Name|Type|Size|Parent Directory
69556c50fc9d4809656ca7233c70f7386732d5|file|90|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\48
48|directory|90|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
49159fe913e98a3b92e8da23120535d9b880b6|file|52|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\4a
4a|directory|52|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
947f9a27ab485105cfbecfab598bd51722ecc5|file|97|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\4d
4d|directory|97|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
09170246eb6121541d6a1b6777a65ea19ec5eb|file|105|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\4f
4f|directory|105|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
2bcad8f72b9f4d4ccd04970e6fa179b34706eb|file|302|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\50
50|directory|302|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
4b7924fb71425702b9980812b2f22aeb0bcd5f|file|319|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\58
58|directory|319|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
12457270ace197cf9a0d699e3b6b0a6b4c34e0|file|53|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\5a
5a|directory|53|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
9f48988555f0d9dccc7cf1df23e61057a1b92d|file|84|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\5d
5d|directory|84|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
c0aa3ba8f2130b68944a6af8163d364a23bbf2|file|222|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\63
63|directory|222|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
323bd2e8534034eb4c58f1f4fc2d0e6cd6f978|file|148|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\6d
375bc017702ae81eed07b10edbdf9d71731025|file|256|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\6d
f9daff0fd3b2c94eed4c6d2bd78d2a07f4fd17|file|978|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\6d
6d|directory|1382|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
093c0ef336a624ab402cfcd52bafde44144bee|file|1670|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\70
70|directory|1670|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
6be485ab8871161969591397d19c44cb8f6628|file|89|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\73
73|directory|89|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
66b2d4b2f5152e986cc4b0cbd8d809796209e1|file|169|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\74
d515a027de98657e9d3d5f0f1831882fd81374|file|235|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\74
74|directory|404|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
89f500f8b1133047d9dfb99c4c757c4b3d32a2|file|170|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\78
78|directory|170|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
5b6e6eb63d29c94eba6de4084ccd86c4016514|file|78|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\7b
7b32b3964f3a2fad982e86089f43378daa1d1a|file|846|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\7b
7b|directory|924|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
a2ea182a3fcb6989cd0e33cbcc47cb15972b93|file|232|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects\7d
7d|directory|232|C:\Users\Marsel\pythonProject\DeepPyLearningGB\.git\objects
